gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
RVBD1875:RVBD1875	6	6	GA	1675.53	1501.96	-0.158	-0.047	-0.158	-0.047	-0.158	-0.150	-0.158	149.52	0.08301662	0.7822000000	1.0000000000
RVBD1876:bfrA	6	6	GA	2312.04	2702.57	0.225	0.020	0.225	0.089	0.225	0.241	0.225	214.62	0.11238689	0.7683000000	1.0000000000
RVBD1877:RVBD1877	22	22	GA	1804.00	1962.37	0.121	-0.118	0.016	0.040	0.084	0.057	0.007	37.41	0.02413010	0.8237000000	1.0000000000
RVBD1878:glnA3	16	16	NE	1413.05	1483.19	0.070	-0.059	0.039	0.077	0.188	0.105	0.039	8.36	0.00655393	0.9113000000	1.0000000000
RVBD1879:RVBD1879	13	13	NE	1240.68	1159.93	-0.097	0.012	-0.012	0.195	0.184	0.065	-0.042	27.77	0.02605053	0.5819000000	1.0000000000
RVBD1880c:cyp140	11	11	NE	683.85	710.64	0.055	0.015	0.083	-0.083	-0.001	0.039	-0.001	80.16	0.18699820	0.5716000000	1.0000000000
RVBD1881c:lppE	9	9	GA	2225.32	2390.32	0.103	-0.085	0.103	0.103	0.103	0.029	0.103	-92.66	-0.04010731	0.8890500000	1.0000000000
RVBD1882c:RVBD1882c	9	9	GA	1480.85	1510.89	0.029	0.029	0.029	0.064	0.029	-0.031	0.029	-71.63	-0.08965582	0.8586500000	1.0000000000
RVBD1883c:RVBD1883c	5	5	GA	3795.19	3551.40	-0.096	-0.096	-0.096	-0.096	-0.096	-0.096	-0.096	-243.86	-0.12666502	0.4744500000	1.0000000000
RVBD1884c:rpfC	7	7	GA	1942.62	2016.50	0.054	-0.212	0.054	-0.015	0.054	-0.015	0.054	-251.33	-0.11591101	0.3617000000	1.0000000000
RVBD1885c:RVBD1885c	6	6	GA	1605.93	1743.89	0.119	0.056	0.119	0.046	0.119	0.056	0.119	51.19	0.03795639	0.7817000000	1.0000000000
RVBD1886c:fbpB	9	9	GA	2621.24	2203.72	-0.250	-0.125	-0.250	-0.224	-0.250	-0.321	-0.250	-68.68	-0.03624444	0.6288000000	1.0000000000
RVBD1887:RVBD1887	7	7	NE	4496.47	4169.81	-0.109	-0.109	-0.109	-0.157	-0.109	-0.157	-0.109	-155.19	-0.03911450	0.7257000000	1.0000000000
RVBD1888A:RVBD1888A	5	5	Uncertain	810.94	874.41	0.109	0.109	0.109	0.109	0.109	0.109	0.109	10.89	0.01330874	0.9433000000	1.0000000000
RVBD1888c:RVBD1888c	18	18	NE	1306.87	1402.83	0.102	0.040	-0.051	0.236	0.067	0.146	0.101	33.63	0.03001593	0.8627500000	1.0000000000
RVBD1889c:RVBD1889c	7	7	NE	1514.36	1685.07	0.154	0.144	0.154	0.154	0.154	0.067	0.154	106.57	0.13543505	0.5211500000	1.0000000000
RVBD1890c:RVBD1890c	6	6	NE	1739.88	1894.25	0.123	0.055	0.123	0.176	0.123	0.055	0.123	118.64	0.08112900	0.4285000000	1.0000000000
RVBD1891:RVBD1891	11	11	NE	841.20	908.09	0.110	-0.121	-0.202	-0.024	-0.202	-0.004	-0.202	-32.71	-0.03809154	0.6743500000	1.0000000000
RVBD1892:RVBD1892	7	7	NE	1186.15	1183.73	-0.003	-0.005	-0.003	-0.003	-0.003	-0.003	-0.003	88.62	0.08043529	0.4601000000	1.0000000000
RVBD1893:RVBD1893	1	1	Uncertain	1070.39	850.62	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	-226.85	-1.00000000	0.1043500000	1.0000000000
RVBD1894c:RVBD1894c	9	9	NE	1399.93	1278.27	-0.131	-0.215	-0.131	0.028	-0.131	0.109	-0.131	-59.65	-0.07934928	0.6730000000	1.0000000000
RVBD1895:RVBD1895	12	12	NE	2188.03	2016.50	-0.118	-0.020	-0.118	0.229	0.004	-0.020	-0.118	108.78	0.06123855	0.5888500000	1.0000000000
RVBD1896c:RVBD1896c	8	8	NE	3241.81	3319.61	0.034	-0.057	0.034	0.088	0.034	0.027	0.034	12.80	0.00314588	0.9935500000	1.0000000000
RVBD1897c:RVBD1897c	6	6	NE	4980.61	5142.87	0.046	0.020	0.046	0.297	0.046	0.020	0.046	218.18	0.03772501	0.8699000000	1.0000000000
RVBD1898:RVBD1898	6	6	NE	930.26	908.69	-0.034	-0.040	-0.034	0.185	-0.034	-0.040	-0.034	42.46	0.05197379	0.5958000000	1.0000000000
RVBD1899c:lppD	5	5	NE	3667.37	3933.14	0.101	0.101	0.101	0.101	0.101	0.101	0.101	23.12	0.00792402	0.9643000000	1.0000000000
RVBD1900c:lipJ	10	10	NE	2204.96	2363.16	0.100	0.241	0.100	0.024	0.100	0.241	0.100	3.73	0.00150986	0.9960000000	1.0000000000
RVBD1901:cinA	14	14	NE	1001.40	1071.61	0.098	-0.055	-0.036	0.171	0.098	-0.079	0.142	-18.44	-0.01615888	0.8441500000	1.0000000000
RVBD1902c:nanT	20	20	NE	1886.72	1882.70	-0.003	-0.032	-0.012	0.179	0.153	0.152	0.074	117.93	0.10693759	0.2303500000	1.0000000000
RVBD1903:RVBD1903	8	8	GA	2898.04	2934.46	0.018	-0.210	0.018	0.058	0.018	0.165	0.018	-33.10	-0.01411510	0.8682500000	1.0000000000
RVBD1904:RVBD1904	4	4	GA	1701.31	1795.41	0.078	0.078	0.078	0.078	0.078	0.078	0.078	102.66	0.08751560	0.8342500000	1.0000000000
RVBD1905c:aao	6	6	NE	2600.91	2785.43	0.099	0.088	0.099	0.049	0.099	0.049	0.099	-201.22	-0.19301397	0.6387000000	1.0000000000
RVBD1906c:RVBD1906c	6	6	NE	1328.58	1318.76	-0.011	-0.039	-0.011	0.083	-0.011	0.079	-0.011	40.49	0.05196508	0.9554500000	1.0000000000
RVBD1907c:RVBD1907c	6	6	NE	1921.77	2114.91	0.138	0.040	0.138	0.039	0.138	0.039	0.138	41.81	0.02177122	0.9136000000	1.0000000000
RVBD1908c:katG	12	12	NE	2693.90	2696.39	0.001	-0.079	0.076	0.080	0.001	-0.045	0.076	-12.78	-0.00509037	0.8859000000	1.0000000000
RVBD1909c:furA	6	6	NE	2214.90	2255.40	0.026	-0.031	0.026	-0.048	0.026	-0.031	0.026	-169.10	-0.08828648	0.4049000000	1.0000000000
RVBD1910c:RVBD1910c	5	5	NE	1582.00	1534.68	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	-58.43	-0.05126839	0.7490500000	1.0000000000
RVBD1911c:lppC	6	6	NE	1316.70	1245.80	-0.080	0.147	-0.080	0.035	-0.080	0.147	-0.080	-64.28	-0.05456532	0.6698500000	1.0000000000
RVBD1912c:fadB5	10	10	NE	1536.32	1616.91	0.074	0.052	0.074	0.163	0.074	0.119	0.074	-0.73	-0.00062506	1.0000000000	1.0000000000
RVBD1913:RVBD1913	8	8	NE	1319.01	1463.36	0.150	-0.085	0.150	0.158	0.150	0.158	0.150	-86.82	-0.05627939	0.7406500000	1.0000000000
RVBD1914c:RVBD1914c	7	7	NE	1853.09	1744.29	-0.087	-0.094	-0.087	-0.035	-0.087	0.007	-0.087	-5.59	-0.00379670	0.8422500000	1.0000000000
RVBD1915:aceAa	11	11	NE	1563.01	1463.36	-0.095	-0.010	-0.020	0.073	-0.020	-0.027	-0.020	69.40	0.04999460	0.8495000000	1.0000000000
RVBD1916:aceAb	10	10	NE	1758.10	1671.34	-0.073	-0.076	-0.073	0.151	-0.073	-0.076	-0.073	110.32	0.04153070	0.4826000000	1.0000000000
RVBD1917c:PPE34	41	41	NE	1189.54	1191.51	0.002	-0.045	-0.154	0.256	0.415	0.236	0.075	-7.33	-0.00881081	0.9556500000	1.0000000000
RVBD1918c:PPE35	21	20	NE	1207.51	1219.39	0.014	-0.025	-0.090	0.080	0.021	0.071	-0.049	-85.81	-0.07252146	0.8074000000	1.0000000000
RVBD1919c:RVBD1919c	5	5	NE	2943.57	3033.67	0.043	0.043	0.043	0.043	0.043	0.043	0.043	37.56	0.01502607	0.7713500000	1.0000000000
RVBD1920:RVBD1920	5	5	NE	1679.11	1717.86	0.033	0.033	0.033	0.033	0.033	0.033	0.033	58.41	0.04016333	0.9652500000	1.0000000000
RVBD1921c:lppF	13	13	NE	2360.19	2223.43	-0.086	-0.086	0.048	0.068	0.034	0.078	0.034	81.25	0.03848439	0.7358500000	1.0000000000
RVBD1922:RVBD1922	7	7	NE	1355.43	1451.40	0.099	0.043	0.099	0.099	0.099	-0.192	0.099	43.08	0.01428850	1.0000000000	1.0000000000
RVBD1923:lipD	13	13	GA	1395.89	1487.09	0.091	-0.208	-0.096	0.133	0.038	0.082	0.112	-27.76	-0.01946063	0.9460000000	1.0000000000
RVBD1924c:RVBD1924c	5	5	GA	2233.10	2239.58	0.004	0.004	0.004	0.004	0.004	0.004	0.004	-70.05	-0.02328372	0.7756500000	1.0000000000
RVBD1925:fadD31	11	11	GA	2678.48	2649.09	-0.016	-0.187	-0.088	-0.002	-0.070	-0.233	-0.021	-96.82	-0.04962025	0.7412000000	1.0000000000
RVBD1926c:mpt63	5	5	GA	2124.17	2078.08	-0.032	-0.032	-0.032	-0.032	-0.032	-0.032	-0.032	71.30	0.03152973	0.9907000000	1.0000000000
RVBD1927:RVBD1927	6	6	NE	2420.71	2443.75	0.014	-0.087	0.014	-0.087	0.014	0.070	0.014	31.54	0.01485639	0.9524500000	1.0000000000
RVBD1928c:RVBD1928c	12	12	NE	1613.73	1633.86	0.018	-0.192	-0.274	0.083	0.088	-0.587	0.043	-176.33	-0.13090418	0.6825500000	1.0000000000
RVBD1929c:RVBD1929c	12	12	NE	1234.56	1192.47	-0.050	0.033	0.030	0.205	0.087	-0.078	0.030	96.32	0.08578934	0.6365000000	1.0000000000
RVBD1930c:RVBD1930c	5	5	NE	833.20	844.47	0.019	0.019	0.019	0.019	0.019	0.019	0.019	51.67	0.04854816	0.6802500000	1.0000000000
RVBD1931c:RVBD1931c	6	6	NE	1489.07	1481.07	-0.008	-0.080	-0.008	-0.080	-0.008	0.023	-0.008	-66.19	-0.04890061	0.4833000000	1.0000000000
RVBD1932:tpx	6	6	NE	3010.76	2814.87	-0.097	-0.179	-0.097	-0.179	-0.097	-0.133	-0.097	-295.76	-0.10976854	0.7792500000	1.0000000000
RVBD1933c:fadE18	13	13	NE	1579.51	1740.99	0.140	-0.072	-0.045	0.098	0.007	0.140	0.007	46.34	0.03137016	0.8921500000	1.0000000000
RVBD1934c:fadE17	17	17	NE	1046.06	1052.69	0.009	-0.085	0.019	0.188	0.072	0.133	0.036	40.14	0.03714850	1.0000000000	1.0000000000
RVBD1935c:echA13	8	8	NE	1464.27	1519.78	0.054	-0.193	0.054	0.055	0.054	0.184	0.054	-116.86	-0.06241289	0.3707500000	1.0000000000
RVBD1936:RVBD1936	9	9	NE	1567.41	1590.61	0.021	-0.090	0.021	-0.018	0.021	0.230	0.021	21.30	0.02882583	0.7792000000	1.0000000000
RVBD1937:RVBD1937	24	24	NE	1125.13	1154.05	0.037	-0.110	-0.055	0.345	0.160	-0.075	0.012	44.29	0.05850169	0.6700000000	1.0000000000
RVBD1938:ephB	13	13	NE	766.30	751.92	-0.027	-0.484	-0.054	-0.027	-0.054	-0.057	-0.177	-119.65	-0.08619189	0.4593500000	1.0000000000
RVBD1939:RVBD1939	6	6	NE	856.29	892.34	0.059	0.157	0.059	0.060	0.059	0.157	0.059	1.74	0.00256594	0.9315500000	1.0000000000
RVBD1940:ribA1	7	7	NE	1518.99	1600.11	0.075	-0.140	0.075	0.076	0.075	0.075	0.075	-14.56	-0.01139011	1.0000000000	1.0000000000
RVBD1941:RVBD1941	5	5	NE	3050.72	3003.93	-0.022	-0.022	-0.022	-0.022	-0.022	-0.022	-0.022	28.69	0.01599106	0.8285000000	1.0000000000
RVBD1942c:mazF5	7	7	NE	1537.50	1695.29	0.141	-0.086	0.141	0.209	0.141	0.268	0.141	82.64	0.07473137	0.6409500000	1.0000000000
RVBD1944c:RVBD1944c	6	6	NE	2304.90	2423.79	0.073	0.099	0.073	0.151	0.073	0.099	0.073	-100.53	-0.03725510	0.8398500000	1.0000000000
RVBD1945:RVBD1945	3	3	NE	1927.92	1943.44	0.012	0.012	0.012	0.012	0.012	0.012	0.012	57.02	0.07473461	0.9642000000	1.0000000000
RVBD1946c:lppG	9	9	NE	1609.77	1602.18	-0.007	0.061	-0.007	0.278	-0.007	0.071	-0.007	112.65	0.03916485	0.5604500000	1.0000000000
RVBD1947:RVBD1947	5	5	NE	1512.94	1689.34	0.159	0.159	0.159	0.159	0.159	0.159	0.159	12.35	0.00909393	0.9008500000	1.0000000000
RVBD1948c:RVBD1948c	7	7	NE	1918.41	1885.63	-0.025	-0.025	-0.025	0.033	-0.025	0.197	-0.025	53.20	0.02640964	1.0000000000	1.0000000000
RVBD1949c:RVBD1949c	9	9	NE	2850.38	2837.16	-0.007	-0.007	-0.007	0.040	-0.007	-0.007	-0.007	64.11	0.02475374	0.9685000000	1.0000000000
RVBD1950c:RVBD1950c	5	5	GA	1392.72	1391.92	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	86.89	0.04034304	0.7089000000	1.0000000000
RVBD1951c:RVBD1951c	6	6	GA	2085.74	2054.40	-0.022	-0.048	-0.022	0.039	-0.022	0.039	-0.022	-66.11	-0.02924873	0.6798500000	1.0000000000
RVBD1952:vapB14	7	7	GA	1690.73	1584.83	-0.093	-0.093	-0.093	-0.093	-0.093	-0.245	-0.093	8.13	0.00473253	1.0000000000	1.0000000000
RVBD1953:vapC14	6	6	GA	972.26	890.16	-0.127	-0.019	-0.127	-0.019	-0.127	-0.019	-0.127	-90.66	-0.06506869	0.4351500000	1.0000000000
RVBD1954A:RVBD1954A	5	5	GA	1335.19	1318.99	-0.018	-0.018	-0.018	-0.018	-0.018	-0.018	-0.018	12.70	0.01083996	0.9093500000	1.0000000000
RVBD1954c:RVBD1954c	8	8	GA	1542.71	1454.68	-0.085	0.080	-0.085	0.380	-0.085	-0.024	-0.085	-57.73	-0.02702241	0.8670000000	1.0000000000
RVBD1955:higB	10	10	GA	1198.08	1270.53	0.085	0.007	0.085	0.081	0.085	0.102	0.085	76.34	0.04990623	0.4981000000	1.0000000000
RVBD1956:higA	8	8	GA	294.50	372.81	0.340	0.342	0.340	0.342	0.340	-0.072	0.340	-10.65	-0.01406548	0.7578500000	1.0000000000
RVBD1957:RVBD1957	6	5	GA	1016.70	1177.78	0.212	0.212	0.212	0.212	0.212	0.212	0.212	81.18	0.21015024	0.2150500000	1.0000000000
RVBD1958c:RVBD1958c	8	7	GA	1577.96	1602.18	0.022	-0.021	0.022	0.022	0.022	0.022	0.022	57.88	0.03838131	0.7380000000	1.0000000000
RVBD1959c:parE1	6	6	GA	2799.76	2849.13	0.025	-0.021	0.025	0.056	0.025	0.056	0.025	35.19	0.01905810	0.8898500000	1.0000000000
RVBD1960c:RVBD1960c	5	5	NE	1581.26	1647.70	0.059	0.059	0.059	0.059	0.059	0.059	0.059	-72.28	-0.05067082	0.8043500000	1.0000000000
RVBD1961:RVBD1961	5	5	NE	1517.27	1579.04	0.058	0.058	0.058	0.058	0.058	0.058	0.058	-46.13	-0.10868218	0.7764000000	1.0000000000
RVBD1962A:vapB35	5	5	NE	1234.60	1088.55	-0.182	-0.182	-0.182	-0.182	-0.182	-0.182	-0.182	-92.74	-0.13814288	0.4942000000	1.0000000000
RVBD1962c:RVBD1962c	4	4	NE	2745.29	2662.76	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	242.98	0.23692524	0.7647000000	1.0000000000
RVBD1963c:mce3R	12	12	NE	1198.11	1307.19	0.126	-0.133	-0.003	0.217	0.141	0.161	0.141	-48.88	-0.03566760	0.7047000000	1.0000000000
RVBD1964:yrbE3A	8	8	NE	1625.51	1815.08	0.159	-0.048	0.159	0.078	0.159	-0.048	0.159	106.01	0.07585089	0.8640500000	1.0000000000
RVBD1965:yrbE3B	12	12	NE	1377.17	1356.86	-0.021	-0.143	0.029	0.084	0.029	-0.099	0.029	-155.89	-0.09764828	0.7300500000	1.0000000000
RVBD1966:mce3A	10	10	NE	1943.43	2117.12	0.123	-0.027	0.123	0.240	0.123	-0.026	0.123	-27.76	-0.01790328	0.9312500000	1.0000000000
RVBD1967:mce3B	7	7	NE	1990.65	2304.19	0.211	0.110	0.211	0.236	0.211	0.248	0.211	40.87	0.02516773	1.0000000000	1.0000000000
RVBD1968:mce3C	9	9	NE	2690.62	2527.62	-0.090	-0.090	-0.090	-0.070	-0.090	-0.039	-0.090	-98.95	-0.04325682	0.8310000000	1.0000000000
RVBD1969:mce3D	8	8	NE	1586.73	1544.92	-0.039	-0.153	-0.039	0.036	-0.039	-0.027	-0.039	-1.90	-0.00265796	0.9999000000	1.0000000000
RVBD1970:lprM	5	5	NE	1779.22	1851.96	0.058	0.058	0.058	0.058	0.058	0.058	0.058	104.00	0.07759301	0.8012000000	1.0000000000
RVBD1971:mce3F	11	11	NE	1021.74	1127.89	0.143	-0.059	0.135	0.133	0.151	0.125	0.135	67.89	0.11060681	0.7785000000	1.0000000000
RVBD1972:RVBD1972	6	6	NE	2083.18	2138.56	0.038	-0.033	0.038	-0.033	0.038	-0.033	0.038	-56.03	-0.02746255	0.6219000000	1.0000000000
RVBD1973:RVBD1973	6	6	NE	1815.03	1725.69	-0.073	-0.096	-0.073	-0.058	-0.073	-0.058	-0.073	57.45	0.05243594	0.6047000000	1.0000000000
RVBD1974:RVBD1974	4	4	NE	1079.25	1110.53	0.041	0.041	0.041	0.041	0.041	0.041	0.041	67.23	0.08298991	0.8786000000	1.0000000000
RVBD1975:RVBD1975	6	6	NE	2789.54	2688.67	-0.053	-0.045	-0.053	-0.045	-0.053	-0.045	-0.053	1.58	0.00075374	1.0000000000	1.0000000000
RVBD1976c:RVBD1976c	5	5	NE	1885.35	1850.89	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	-272.11	-0.21196857	0.3065500000	1.0000000000
RVBD1977:RVBD1977	6	6	NE	1632.95	1603.87	-0.026	0.017	-0.026	0.017	-0.026	0.017	-0.026	-118.00	-0.06459312	0.8616500000	1.0000000000
RVBD1978:RVBD1978	9	9	NE	1307.58	1330.33	0.025	-0.032	0.025	0.199	0.025	-0.133	0.025	-18.29	-0.03046886	0.8095500000	1.0000000000
RVBD1979c:RVBD1979c	24	24	GA	1531.10	1568.74	0.035	-0.168	-0.135	0.137	0.072	0.022	0.118	119.80	0.10442991	0.6781000000	1.0000000000
RVBD1980c:mpt64	8	8	GA	2551.24	2683.73	0.073	-0.103	0.073	0.140	0.073	0.140	0.073	187.71	0.10515424	0.8499000000	1.0000000000
RVBD1981c:nrdF1	9	9	GA	1084.34	1093.18	0.012	-0.073	0.012	0.134	0.012	0.146	0.012	-118.17	-0.07906205	0.7460000000	1.0000000000
RVBD1982A:vapB36	5	5	NE	869.90	999.33	0.200	0.200	0.200	0.200	0.200	0.200	0.200	218.02	0.11370309	0.1648500000	1.0000000000
RVBD1982c:vapC36	7	7	NE	1119.58	1165.88	0.058	0.122	0.058	0.149	0.058	0.149	0.058	33.31	0.03656999	0.6835000000	1.0000000000
RVBD1983:PE-PGRS35	12	12	GA	1075.90	1119.04	0.057	-0.083	-0.140	0.215	-0.140	0.098	-0.140	-82.13	-0.09988558	0.4843500000	1.0000000000
RVBD1984A:RVBD1984A	4	4	N/A	1366.33	1354.53	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013	16.56	0.01513985	0.8565000000	1.0000000000
RVBD1984c:cfp21	6	6	GA	1931.98	1749.45	-0.143	-0.438	-0.143	0.033	-0.143	-0.006	-0.143	1.51	0.00133111	0.9999000000	1.0000000000
RVBD1985c:RVBD1985c	6	6	NE	1565.82	1565.95	0.000	-0.125	0.000	0.023	0.000	0.023	0.000	30.71	0.05981974	0.8334000000	1.0000000000
RVBD1986:RVBD1986	6	6	NE	1287.52	1619.53	0.331	0.256	0.331	0.301	0.331	0.256	0.331	54.71	0.03625099	0.2632000000	1.0000000000
RVBD1987:RVBD1987	7	7	NE	1785.27	1600.11	-0.158	0.043	-0.158	-0.158	-0.158	0.043	-0.158	-134.82	-0.08123002	0.4935500000	1.0000000000
RVBD1988:erm(37)	7	7	NE	1314.96	1232.00	-0.094	-0.086	-0.094	0.018	-0.094	0.052	-0.094	22.97	0.02828728	0.8432000000	1.0000000000
RVBD1989c:RVBD1989c	5	5	NE	3083.46	2967.21	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	70.74	0.02918313	0.8364000000	1.0000000000
RVBD1990A:RVBD1990A	4	4	NE	1452.06	1530.61	0.076	0.076	0.076	0.076	0.076	0.076	0.076	-92.79	-0.09321237	0.4984000000	1.0000000000
RVBD1990c:RVBD1990c	33	32	ES	971.06	1111.67	0.195	-0.175	-0.082	0.331	0.558	-0.030	0.121	59.57	0.05519892	0.7470500000	1.0000000000
RVBD1991A:mazE6	6	6	NE	369.63	322.72	-0.196	-0.083	-0.196	-0.288	-0.196	-0.083	-0.196	-81.78	-0.26749725	0.2797000000	1.0000000000
RVBD1991c:mazF6	4	4	NE	1707.43	1512.90	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	71.05	0.03136344	0.7278000000	1.0000000000
RVBD1992c:ctpG	11	11	NE	1385.86	1491.26	0.106	-0.028	0.069	0.127	0.105	0.059	0.069	-87.33	-0.06796992	0.4983500000	1.0000000000
RVBD1993c:RVBD1993c	2	2	NE	1199.39	1372.82	0.195	0.195	0.195	0.195	0.195	0.195	0.195	154.12	0.14446921	0.3905000000	1.0000000000
RVBD1994c:cmtR	7	7	NE	1885.35	1986.76	0.076	-0.035	0.076	0.076	0.076	0.076	0.076	-222.92	-0.15530549	0.5085500000	1.0000000000
RVBD1995:RVBD1995	7	7	GA	2233.10	1997.32	-0.161	-0.161	-0.161	-0.005	-0.161	-0.005	-0.161	-161.17	-0.04077694	0.3454000000	1.0000000000
RVBD1996:RVBD1996	8	8	GA	1768.07	1652.12	-0.098	0.086	-0.098	-0.184	-0.098	-0.221	-0.098	-33.52	-0.02365347	0.9399000000	1.0000000000
RVBD1997:ctpF	19	19	NE	1089.32	1017.99	-0.098	-0.115	-0.064	0.245	0.214	0.109	0.063	74.28	0.06014080	0.5341500000	1.0000000000
RVBD1998c:RVBD1998c	7	7	NE	2116.45	2234.20	0.078	-0.132	0.078	0.017	0.078	-0.132	0.078	-286.07	-0.12990665	0.4927000000	1.0000000000
RVBD1999c:RVBD1999c	14	14	NE	980.84	847.36	-0.211	-0.344	-0.181	0.182	-0.043	-0.119	-0.211	-74.86	-0.09143791	0.3896500000	1.0000000000
RVBD2000:RVBD2000	7	7	NE	1161.94	1127.89	-0.043	-0.043	-0.043	0.079	-0.043	-0.043	-0.043	-4.61	-0.00357870	1.0000000000	1.0000000000
RVBD2001:RVBD2001	8	8	NE	2017.30	1952.94	-0.047	-0.049	-0.047	-0.025	-0.047	-0.032	-0.047	29.27	0.02354661	0.8644000000	1.0000000000
RVBD2002:fabG3	9	9	NE	1240.61	1480.71	0.255	-0.114	0.255	-0.016	0.255	0.163	0.255	62.39	0.04840964	0.6844000000	1.0000000000
RVBD2003c:RVBD2003c	7	7	NE	780.68	945.79	0.277	0.277	0.277	0.097	0.277	0.059	0.277	-63.14	-0.08221614	0.4685500000	1.0000000000
RVBD2004c:RVBD2004c	14	14	NE	1712.02	1789.36	0.064	-0.245	-0.049	0.189	0.054	0.067	-0.084	-6.39	-0.00410350	0.9711000000	1.0000000000
RVBD2005c:RVBD2005c	8	8	NE	1782.25	1658.07	-0.104	-0.198	-0.104	-0.102	-0.104	-0.198	-0.104	-26.78	-0.01374051	0.9698500000	1.0000000000
RVBD2006:otsB1	26	25	NE	1198.25	1231.31	0.039	-0.307	-0.137	0.205	0.169	-0.190	-0.042	-6.08	-0.00657689	0.9854000000	1.0000000000
RVBD2007c:fdxA	5	5	NE	3328.47	3152.30	-0.078	-0.078	-0.078	-0.078	-0.078	-0.078	-0.078	116.83	0.03588696	0.8913000000	1.0000000000
RVBD2008c:RVBD2008c	14	14	NE	388.83	274.74	-0.501	-0.447	-0.598	-0.149	-0.343	-0.251	-0.501	-53.82	-0.23190979	0.0592500000	1.0000000000
RVBD2009:vapB15	4	4	NE	1496.03	1371.60	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-0.125	-112.67	-0.05711131	0.7546000000	1.0000000000
RVBD2010:vapC15	5	5	NE	2057.60	2013.47	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031	-128.56	-0.15684496	0.7237000000	1.0000000000
RVBD2011c:RVBD2011c	5	5	NE	1140.98	1064.76	-0.100	-0.100	-0.100	-0.100	-0.100	-0.100	-0.100	-187.95	-0.15591293	0.7073500000	1.0000000000
RVBD2012:RVBD2012	7	7	NE	1785.27	1991.94	0.158	0.158	0.158	0.140	0.158	0.158	0.158	-122.21	-0.09619097	0.6226500000	1.0000000000
RVBD2013:RVBD2013	5	5	NE	1972.88	1970.40	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	128.37	0.06348903	0.8000000000	1.0000000000
RVBD2014:RVBD2014	7	7	NE	1472.76	1658.15	0.171	0.030	0.171	0.227	0.171	-0.211	0.171	-56.29	-0.05027768	0.7303500000	1.0000000000
RVBD2015c:RVBD2015c	2	2	NE	2621.91	2543.76	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	-0.044	92.66	0.06638350	1.0000000000	1.0000000000
RVBD2016:RVBD2016	8	8	NE	1824.51	2026.86	0.152	-0.031	0.152	0.093	0.152	0.003	0.152	69.39	0.03682835	0.9310000000	1.0000000000
RVBD2017:RVBD2017	92	91	ES	801.12	850.25	0.086	-0.312	-0.453	0.415	0.412	-0.743	-0.539	19.81	0.02218998	0.8536000000	1.0000000000
RVBD2018:RVBD2018	6	6	NE	84.04	47.59	-0.820	-0.965	-0.820	-0.650	-0.820	-0.650	-0.820	-24.06	-0.32606335	0.0769000000	1.0000000000
RVBD2019:RVBD2019	8	8	GA	3174.38	3402.47	0.100	-0.043	0.100	-0.043	0.100	-0.043	0.100	14.92	0.00498894	1.0000000000	1.0000000000
RVBD2020c:RVBD2020c	6	6	GA	1310.53	1404.21	0.100	-0.108	0.100	-0.050	0.100	-0.108	0.100	63.93	0.04160765	0.8633000000	1.0000000000
RVBD2021c:RVBD2021c	2	2	GA	643.41	664.77	0.047	0.047	0.047	0.047	0.047	0.047	0.047	91.61	0.71371728	0.5419000000	1.0000000000
RVBD2022c:RVBD2022c	9	9	GA	1325.82	1255.11	-0.079	-0.011	-0.079	-0.079	-0.079	-0.079	-0.079	-13.65	-0.00967905	0.9651500000	1.0000000000
RVBD2023A:RVBD2023A	3	3	N/A	3673.39	3612.41	-0.024	-0.024	-0.024	-0.024	-0.024	-0.024	-0.024	-114.80	-0.06151643	0.6963500000	1.0000000000
RVBD2023c:RVBD2023c	7	7	NE	1537.50	1596.39	0.054	0.026	0.054	0.035	0.054	0.035	0.054	-57.19	-0.03820489	0.8470500000	1.0000000000
RVBD2024c:RVBD2024c	7	6	NE	2260.34	1994.59	-0.180	-0.130	-0.180	-0.130	-0.180	-0.218	-0.180	-241.05	-0.27409350	0.2766000000	1.0000000000
RVBD2025c:RVBD2025c	6	6	NE	821.89	892.57	0.119	0.015	0.119	0.015	0.119	0.109	0.119	69.58	0.10307152	0.9549500000	1.0000000000
RVBD2026c:RVBD2026c	7	7	NE	2128.62	2319.87	0.124	-0.138	0.124	0.124	0.124	0.124	0.124	51.71	0.01864044	1.0000000000	1.0000000000
